,0,1,9,17,18,25,26,34,8,2,3,4,5,12,20,28,11,10,16,27,33,24,32,21,40,48,13,22,14,6,36,30,31,39,47,38,37,44,43,56,57,58,50,45,23,51
0,-0.024383748955776583,-0.05005085310036113,-0.05268510779113349,-0.05545800634441558,-0.05837682055188974,-0.05837302147051023,-0.06144810794123418,-0.06415955576507315,-0.025667104163975364,-0.0526851060271948,-0.05545791075475575,-0.0579039990779786,-0.061404520895729814,-0.061404520895729814,-0.06452631116500053,-0.06195997659591799,-0.058234995826413054,-0.05545437039698466,-0.027018004383131938,-0.06293703776531523,-0.06144931450904771,-0.028440004613823112,-0.02993684696191911,-0.06808654619527324,-0.031512470486230515,-0.033171021564453174,-0.06415955576507315,-0.06522102799570317,-0.06624951343717385,-0.06293703776531523,-0.05017002153515628,-0.052810548984375025,-0.07226706703125008,-0.07607059687500001,-0.061595625000000064,-0.07226706703125016,-0.07340666308828128,-0.052810548984375025,0.0,-0.03463403819976952,-0.06522102799570317,-0.07483254791085941,-0.05017002153515628,0.0,-0.05281054898437507,-0.052810548984375025
1,-9.042835924510938e-17,-9.518774657379935e-17,-1.0019762797242037e-16,-1.0547118733938987e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-9.518774657379935e-17,-1.0019762797242037e-16,-1.0547118733938987e-16,-1.1102230246251565e-16,0.0,0.0,0.0,-5.168088179630103e-17,-1.1102230246251565e-16,-1.0547118733938987e-16,-1.0019762797242037e-16,0.0,0.0,-1.0547118733938987e-16,-1.1102230246251565e-16,0.0,0.0,-5.0098813986528166e-18,0.0,-1.6735668406653316e-17,0.0,0.0,-1.0103029524088924e-16,0.0,0.0,0.0,0.0,0.0,0.0,7.771561172376095e-17,0.0,-0.0317743469722656,-0.03344668102343757,-0.03520703265625,-3.885780586208905e-18,0.0,7.771561172376095e-17,7.771561172376095e-17
2,-9.042835924510938e-17,-9.518774657379935e-17,-1.0019762797242037e-16,-1.0547118733938987e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-9.518774657379935e-17,-1.0019762797242037e-16,-1.0547118733938987e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.0547118733938987e-16,-1.0019762797242037e-16,0.0,0.0,-1.0547118733938987e-16,-1.1102230246251565e-16,-4.422074650900499e-17,0.0,0.0,0.0,-1.0103029524088924e-16,0.0,0.0,-7.771561172376095e-17,1.1012302181256928e-16,0.0,-0.030008125000000007,-0.03158750000000005,0.0,0.0,0.0,0.0,-5.273559366970902e-18,-5.551115123125829e-18,1.1102230246251565e-16,-1.0103029524088924e-16,0.0,0.0,0.0
3,-0.024383748955776583,-0.025667104163968113,-0.05268510854705761,-0.05545800875822641,-0.05837682055188974,-0.058376851324448906,-0.05979018587704947,-0.058861977766122155,-0.050050853119751854,-0.027018004266828287,-0.028438138665120398,-0.029128552093947286,-0.031257219475292045,-0.06144810794123418,-0.06468345767522399,-0.06807299554839172,-0.05837570254417255,-0.05545800015515702,-0.05268510854710721,-0.04527844443547858,-0.0614492847914628,-0.05545800899695495,-0.058376851575742114,-0.06807299554839172,-0.061449317448149514,-0.06468349205068369,-0.04527844443547858,-0.05017002153515628,-0.06624951343717385,-0.03227540398221294,-0.05017002153515628,-0.052810548984375025,0.0,0.0,-0.061595625000000064,0.0,0.0,0.0,-0.05017002153515628,-0.06195997659591799,-0.06522102799570317,-0.07340666308828128,0.0,0.0,0.0,0.0
